"id","Fish.Rural","Fish.Urban","Mutton.Rural","Mutton.Urban","Chicken.Rural","Chicken.Urban","Beef.Rural","Beef.Urban","All.Rural","All.Urban"
"Jammu and Kashmir",0.012,0.027,0.153,0.247,0.29,0.387,0.249,0.091,0.704,0.752
"Himachal Pradesh",0.005,0.031,0.143,0.169,0.111,0.145,0,0.001,0.259,0.346
"Andhra Pradesh",0.153,0.108,0.121,0.149,0.491,0.44,0.046,0.07,0.811,0.767
"Karnataka",0.163,0.117,0.095,0.119,0.369,0.433,0.023,0.043,0.65,0.712
"Tamil Nadu",0.257,0.292,0.089,0.094,0.356,0.385,0.044,0.021,0.746,0.792
"Puducherry",0.547,0.678,0.08,0.084,0.439,0.467,0.051,0.01,1.117,1.239
"Maharashtra",0.09,0.175,0.069,0.107,0.207,0.27,0.024,0.08,0.39,0.632
"Goa",1.537,1.7,0.058,0.064,0.351,0.496,0.068,0.022,2.014,2.282
"Bihar",0.239,0.187,0.05,0.058,0.177,0.17,0.024,0.035,0.49,0.45
"Rajasthan",0.011,0.004,0.049,0.089,0.022,0.039,0.001,0.019,0.083,0.151
"Delhi",0.026,0.037,0.043,0.045,0.124,0.212,0,0.006,0.193,0.3
"Uttar Pradesh",0.072,0.035,0.042,0.054,0.056,0.082,0.032,0.145,0.202,0.316
"Arunachal Pradesh",0.58,0.647,0.039,0.102,0.255,0.375,0.27,0.344,1.144,1.468
"Haryana",0.002,0.017,0.036,0.003,0.061,0.064,0.008,0.004,0.107,0.088
"Jharkhand",0.142,0.149,0.035,0.105,0.236,0.29,0.011,0.031,0.424,0.575
"Uttarakhand",0.053,0.076,0.031,0.078,0.078,0.102,0.053,0.097,0.215,0.353
"Gujarat",0.052,0.052,0.027,0.033,0.084,0.077,0.036,0.025,0.199,0.187
"Madhya Pradesh",0.048,0.043,0.024,0.072,0.078,0.096,0.001,0.021,0.151,0.232
"Odisha",0.438,0.474,0.022,0.077,0.102,0.108,0.001,0.019,0.563,0.678
"Nagaland",0.285,0.482,0.022,0.001,0.226,0.19,0.576,0.377,1.109,1.05
"Sikkim",0.01,0.061,0.021,0.003,0.203,0.41,0.141,0.333,0.375,0.807
"West Bengal",0.805,1.032,0.018,0.067,0.176,0.318,0.122,0.147,1.121,1.564
"Assam",0.665,0.767,0.017,0.055,0.208,0.308,0.115,0.041,1.005,1.171
"Punjab",0.001,0.004,0.015,0.015,0.046,0.091,0,0,0.062,0.11
"Kerala",2.262,2.103,0.013,0.02,0.338,0.435,0.157,0.134,2.77,2.692
"Meghalaya",0.403,0.517,0.013,0.019,0.168,0.191,0.419,0.278,1.003,1.005
"Chhattisgarh",0.157,0.103,0.012,0.032,0.226,0.265,0,0,0.395,0.4
"Lakshadweep",2.321,3.801,0.01,0,0.417,0.361,1.135,0.821,3.883,4.983
"Daman and Diu",0.625,0.997,0.007,0.039,0.41,0.218,0,0.009,1.042,1.263
"Tripura",1.069,1.478,0.006,0.025,0.199,0.379,0.014,0.001,1.288,1.883
"Andaman and Nicobar",1.573,1.255,0.005,0.025,0.631,0.884,0.055,0.024,2.264,2.188
"Dadra and Nagar Haveli",0.178,0.04,0.005,0.007,0.22,0.178,0,0,0.403,0.225
"Mizoram",0.176,0.203,0.003,0.002,0.235,0.147,0.054,0.17,0.468,0.522
"Manipur",0.462,0.57,0.001,0.001,0.171,0.099,0.134,0.031,0.768,0.701
"Chandigarh",0,0.005,0,0.009,0.043,0.192,0,0,0.043,0.206
